Index,True Value,Predicted Value,Absolute Error
3,0.073953,0.008654329,0.06529867100554705
8,0.048649,0.03193166,0.01671733893060684
37,0.027977,0.008952901,0.019024099232673643
44,0.045818,0.025803471,0.020014529015898702
58,0.037092,0.017220492,0.01987150845658779
71,1.6915,2.211105,0.5196051082611084
95,0.076135,0.030413294,0.04572170578896999
108,0.051768,0.030319467,0.021448532813072206
146,0.054091,0.024961276,0.029129724020123482
164,0.028685,0.010038885,0.018646114712059497
185,1.0266,1.1331803,0.1065802606582642
190,0.040848,0.020864107,0.019983893285274508
192,0.031901,0.16683193,0.13493092551136016
200,0.057542,0.010400016,0.04714198413920403
206,0.061659,0.04054229,0.02111671038532257
276,0.025238,0.008974241,0.016263758907198906
351,0.062139,0.03177805,0.03036095127606392
375,0.046588,0.02483847,0.021749530077457425
388,0.034868,0.013396236,0.021471763885796073
394,0.056253,0.009440107,0.04681289272892475
403,0.064579,0.009381446,0.055197553943932054
416,0.038204,0.011043213,0.02716078669214249
469,0.061751,0.011124357,0.050626643350183964
481,0.81436,1.3423251,0.5279650913619995
497,0.87353,1.0959324,0.22240236446380612
512,0.98136,1.0137366,0.032376605644226064
555,0.06853,0.015295521,0.053234478643834585
563,0.062503,0.029237738,0.03326526212084294
582,0.0098796,0.028056448,0.01817684832551479
583,0.036005,0.01458441,0.021420589995682242
593,0.024435,0.008613506,0.015821493667960165
599,0.057486,0.030277576,0.02720842370247841
619,0.077738,0.008935324,0.06880267608362436
669,0.065814,0.04335072,0.022463281084537504
671,0.049361,0.028481131,0.02087986858046055
679,0.033788,0.008749455,0.025038544786453246
686,0.028077,0.009106601,0.018970399342894555
689,0.029201,0.008722298,0.020478702152729036
691,0.074855,0.023612127,0.051242873291969304
692,1.0597,0.98287386,0.0768261429786683
696,1.0842,0.9240406,0.16015938444137579
697,0.063245,0.034675337,0.028569662625789638
725,0.057139,0.035924215,0.021214785130262377
730,0.062568,0.009389528,0.05317847192662954
732,1.6309,0.3148699,1.316030089521408
764,0.079611,0.03700434,0.042606659559965135
772,0.049963,0.15127154,0.10130853694629668
774,0.030397,0.008537213,0.021859786681950093
781,0.061024,0.037171256,0.02385274420285225
804,0.051215,0.032369517,0.01884548321008682
878,0.035038,0.008796934,0.02624106596159935
915,0.025868,0.008631979,0.017236020884692668
943,0.070323,0.0100598745,0.060263125495195385
959,0.092085,0.04243241,0.04965259122014046
998,0.063212,0.035798147,0.02741385267925263
1000,0.057853,0.023579758,0.03427324233937264
1014,0.07547,0.025874358,0.04959564232945442
1049,0.039066,0.013430463,0.025635536849856373
1058,0.068687,0.040147427,0.02853957253050804
1068,0.030171,0.008890732,0.021280267808496952
1075,0.066962,0.011999095,0.05496290514123439
1083,0.060466,0.03790481,0.022561189839601516
1088,0.052087,0.032952264,0.019134736048698427
1162,0.065792,0.049823612,0.015968388025283817
1170,0.038933,0.013028474,0.025904526406705382
1215,0.058274,0.03161316,0.02666084007525444
1216,0.03548,0.013916191,0.02156380928635597
1228,0.058135,0.03932221,0.018812791386842727
1262,0.050953,0.117695816,0.06674281586122513
1282,0.064606,0.032559164,0.03204683613157272
1312,0.076996,0.03764032,0.03935568172550201
1359,0.87578,1.0383539,0.16257391998291015
1366,0.030872,0.0087106135,0.02216138652575016
1389,0.052415,0.022858202,0.029556797542572025
1398,0.056762,0.012783677,0.04397832268279791
1403,0.05168,0.030913573,0.020766427241563794
1414,0.056403,0.03134251,0.025060489866018297
1419,0.053632,0.030767595,0.022864404604554175
1421,0.028899,0.008887593,0.020011407296895982
1429,0.063985,0.010502947,0.05348205343693495
1449,0.040995,0.02328216,0.01771284088015556
1450,0.021081,0.04385274,0.022771739036083222
1455,0.0098641,0.030920964,0.02105686373438835
1552,0.045619,0.025969325,0.01964967536652088
1574,0.047288,0.030332504,0.016955496159672734
1613,0.044761,0.023639226,0.02112177366769314
1635,0.03777,0.0088130655,0.028956934523284433
1652,0.048012,0.028965924,0.019046076064825057
1665,0.047531,0.008938711,0.03859228886342048
1715,0.056481,0.02966723,0.026813769677042965
1812,0.054667,0.028007573,0.026659427483201027
1854,0.050406,0.02635658,0.02404942026412487
1913,0.048071,0.075276986,0.027205985764503476
1921,0.038833,0.008618879,0.03021412086802721
1929,0.067752,0.0340181,0.03373390069198609
1952,0.0539,0.031581007,0.02231899305582047
1958,0.070642,0.04350187,0.02714013115596771
1972,0.030361,0.009084826,0.021276173664689063
1973,0.047391,0.008835607,0.038555392791688445
1983,0.070977,0.029783912,0.041193087996959685
1999,0.02463,0.008821923,0.015808076714277267
2031,0.062792,0.02945545,0.03333655056786537
2039,0.051511,0.028778948,0.02273205211019516
